TITLE="Solution_n=50Re=100.txt" VARIABLES="x", "y", "u", "v", "p" ZONE T="Solution_n=50Re=100.txt" I=48 J=48 F=POINT
1.0416666667e-02, 1.0416666667e-02, -1.8559365595e-05, -5.8594470320e-05, 1.5183833291e-02
1.0416666667e-02, 3.1250000000e-02, -3.4465458388e-05, -9.6727957111e-05, 1.5362797359e-02
1.0416666667e-02, 5.2083333333e-02, -4.8185907417e-05, -1.7002283363e-04, 1.5391333710e-02
1.0416666667e-02, 7.2916666667e-02, -7.0976544526e-05, -6.2978709752e-05, 1.6054189280e-02
1.0416666667e-02, 9.3750000000e-02, -8.7597589357e-05, 8.6271354909e-05, 1.6025874951e-02
1.0416666667e-02, 1.1458333333e-01, -1.0601209236e-04, 4.1269125220e-04, 1.6933685882e-02
1.0416666667e-02, 1.3541666667e-01, -1.1847782038e-04, 7.9183157366e-04, 1.6732423963e-02
1.0416666667e-02, 1.5625000000e-01, -1.3332588262e-04, 1.3302167112e-03, 1.7723857319e-02
1.0416666667e-02, 1.7708333333e-01, -1.4331088413e-04, 1.9186111778e-03, 1.7264280478e-02
1.0416666667e-02, 1.9791666667e-01, -1.5703320547e-04, 2.6491808550e-03, 1.8226931523e-02
1.0416666667e-02, 2.1875000000e-01, -1.6595461283e-04, 3.4240600849e-03, 1.7442250805e-02
1.0416666667e-02, 2.3958333333e-01, -1.7978650067e-04, 4.3250031727e-03, 1.8287379589e-02
1.0416666667e-02, 2.6041666667e-01, -1.8811441554e-04, 5.2628335250e-03, 1.7121300618e-02
1.0416666667e-02, 2.8125000000e-01, -2.0247414889e-04, 6.3096626547e-03, 1.7773020968e-02
1.0416666667e-02, 3.0208333333e-01, -2.1013360267e-04, 7.3840040437e-03, 1.6178758082e-02
1.0416666667e-02, 3.2291666667e-01, -2.2506253857e-04, 8.5477672929e-03, 1.6571353137e-02
1.0416666667e-02, 3.4375000000e-01, -2.3171883245e-04, 9.7276111839e-03, 1.4514542091e-02
1.0416666667e-02, 3.6458333333e-01, -2.4715228724e-04, 1.0973947589e-02, 1.4593553267e-02
1.0416666667e-02, 3.8541666667e-01, -2.5238847442e-04, 1.2223402838e-02, 1.2056952220e-02
1.0416666667e-02, 4.0625000000e-01, -2.6835992903e-04, 1.3513019470e-02, 1.1781500064e-02
1.0416666667e-02, 4.2708333333e-01, -2.7181435163e-04, 1.4792709068e-02, 8.7701012217e-03
1.0416666667e-02, 4.4791666667e-01, -2.8865460569e-04, 1.6083582506e-02, 8.1145475053e-03
1.0416666667e-02, 4.6875000000e-01, -2.9014005734e-04, 1.7354003227e-02, 4.6600018272e-03
1.0416666667e-02, 4.8958333333e-01, -3.0869850292e-04, 1.8605482292e-02, 3.6131915057e-03
1.0416666667e-02, 5.1041666667e-01, -3.0829894177e-04, 1.9832518776e-02, -2.2330325628e-04
1.0416666667e-02, 5.3125000000e-01, -3.3021754623e-04, 2.1011425923e-02, -1.6630223359e-03
1.0416666667e-02, 5.5208333333e-01, -3.2836068895e-04, 2.2174274233e-02, -5.7897572809e-03
1.0416666667e-02, 5.7291666667e-01, -3.5648724218e-04, 2.3263210837e-02, -7.6257617569e-03
1.0416666667e-02, 5.9375000000e-01, -3.5403420698e-04, 2.4365424466e-02, -1.1921123923e-02
1.0416666667e-02, 6.1458333333e-01, -3.9322279371e-04, 2.5374094055e-02, -1.4178903788e-02
1.0416666667e-02, 6.3541666667e-01, -3.9174543731e-04, 2.6459853279e-02, -1.8492335742e-02
1.0416666667e-02, 6.5625000000e-01, -4.5072444055e-04, 2.7441910054e-02, -2.1254927776e-02
1.0416666667e-02, 6.7708333333e-01, -4.5351648674e-04, 2.8623040748e-02, -2.5406512430e-02
1.0416666667e-02, 6.9791666667e-01, -5.4978050275e-04, 2.9704930018e-02, -2.8879666845e-02
1.0416666667e-02, 7.1875000000e-01, -5.6542236254e-04, 3.1212347143e-02, -3.2657708460e-02
1.0416666667e-02, 7.3958333333e-01, -7.3957791769e-04, 3.2649772152e-02, -3.7305033101e-02
1.0416666667e-02, 7.6041666667e-01, -7.9522288048e-04, 3.4944096237e-02, -4.0467499735e-02
1.0416666667e-02, 7.8125000000e-01, -1.1599251552e-03, 3.7245909439e-02, -4.7335206919e-02
1.0416666667e-02, 8.0208333333e-01, -1.3569944225e-03, 4.1287156233e-02, -4.9648739140e-02
1.0416666667e-02, 8.2291666667e-01, -2.2912014319e-03, 4.5524590787e-02, -6.1283010195e-02
1.0416666667e-02, 8.4375000000e-01, -3.0524288596e-03, 5.3537899611e-02, -6.2764882788e-02
1.0416666667e-02, 8.6458333333e-01, -6.0208619189e-03, 6.2223219675e-02, -8.6302542098e-02
1.0416666667e-02, 8.8541666667e-01, -9.0359936804e-03, 8.0145234982e-02, -8.8464674760e-02
1.0416666667e-02, 9.0625000000e-01, -1.9567570161e-02, 9.9527783367e-02, -1.4783272842e-01
1.0416666667e-02, 9.2708333333e-01, -2.8563994195e-02, 1.4391276662e-01, -1.5907053687e-01
1.0416666667e-02, 9.4791666667e-01, -5.7339829294e-02, 1.8200668163e-01, -3.4732250765e-01
1.0416666667e-02, 9.6875000000e-01, -2.5230203484e-02, 2.7369679471e-01, -3.9448773575e-01
1.0416666667e-02, 9.8958333333e-01, 1.5871391668e-01, 1.9062824384e-01, -1.0761420972e+00
3.1250000000e-02, 1.0416666667e-02, 1.7388177417e-04, -6.8406024396e-05, 1.5424574675e-02
3.1250000000e-02, 3.1250000000e-02, 1.4589380336e-04, -3.8860115746e-05, 1.5604215123e-02
3.1250000000e-02, 5.2083333333e-02, 1.4436642013e-05, 2.9793478192e-05, 1.5535253085e-02
3.1250000000e-02, 7.2916666667e-02, -1.8531766158e-04, 4.2979445631e-04, 1.6086598908e-02
3.1250000000e-02, 9.3750000000e-02, -3.8807238979e-04, 9.9773036082e-04, 1.5903846148e-02
3.1250000000e-02, 1.1458333333e-01, -5.9954814313e-04, 1.9213874482e-03, 1.6669083260e-02
3.1250000000e-02, 1.3541666667e-01, -7.9904765489e-04, 3.0396290934e-03, 1.6304180217e-02
3.1250000000e-02, 1.5625000000e-01, -9.9345373734e-04, 4.4954102525e-03, 1.7158671615e-02
3.1250000000e-02, 1.7708333333e-01, -1.1756532750e-03, 6.1391270957e-03, 1.6544657316e-02
3.1250000000e-02, 1.9791666667e-01, -1.3484157165e-03, 8.0910163101e-03, 1.7389140525e-02
3.1250000000e-02, 2.1875000000e-01, -1.5098677192e-03, 1.0212702959e-02, 1.6465812815e-02
3.1250000000e-02, 2.3958333333e-01, -1.6589869532e-03, 1.2608911864e-02, 1.7217586304e-02
3.1250000000e-02, 2.6041666667e-01, -1.7965450796e-03, 1.5150591644e-02, 1.5932342371e-02
3.1250000000e-02, 2.8125000000e-01, -1.9186963824e-03, 1.7928490012e-02, 1.6520339709e-02
3.1250000000e-02, 3.0208333333e-01, -2.0279710475e-03, 2.0821893746e-02, 1.4829808440e-02
3.1250000000e-02, 3.2291666667e-01, -2.1185446129e-03, 2.3906921533e-02, 1.5193329202e-02
3.1250000000e-02, 3.4375000000e-01, -2.1944614744e-03, 2.7071834731e-02, 1.3066435927e-02
3.1250000000e-02, 3.6458333333e-01, -2.2486393770e-03, 3.0376618641e-02, 1.3156057416e-02
3.1250000000e-02, 3.8541666667e-01, -2.2866834154e-03, 3.3721075298e-02, 1.0577927487e-02
3.1250000000e-02, 4.0625000000e-01, -2.3009463092e-03, 3.7147186400e-02, 1.0357057556e-02
3.1250000000e-02, 4.2708333333e-01, -2.2987486927e-03, 4.0571135391e-02, 7.3328789077e-03
3.1250000000e-02, 4.4791666667e-01, -2.2726395608e-03, 4.4014687476e-02, 6.7784348145e-03
3.1250000000e-02, 4.6875000000e-01, -2.2317597346e-03, 4.7418051433e-02, 3.3363419097e-03
3.1250000000e-02, 4.8958333333e-01, -2.1698170518e-03, 5.0779837113e-02, 2.4369912507e-03
3.1250000000e-02, 5.1041666667e-01, -2.0976446940e-03, 5.4075598467e-02, -1.3708816232e-03
3.1250000000e-02, 5.3125000000e-01, -2.0115379145e-03, 5.7276271632e-02, -2.6205995212e-03
3.1250000000e-02, 5.5208333333e-01, -1.9234242291e-03, 6.0409312605e-02, -6.7195067179e-03
3.1250000000e-02, 5.7291666667e-01, -1.8346629933e-03, 6.3410426845e-02, -8.3311824377e-03
3.1250000000e-02, 5.9375000000e-01, -1.7568490123e-03, 6.6383736424e-02, -1.2627908664e-02
3.1250000000e-02, 6.1458333333e-01, -1.7012060208e-03, 6.9216793698e-02, -1.4640407306e-02
3.1250000000e-02, 6.3541666667e-01, -1.6760705629e-03, 7.2129166786e-02, -1.9030463302e-02
3.1250000000e-02, 6.5625000000e-01, -1.7124630291e-03, 7.4938156358e-02, -2.1546146303e-02
3.1250000000e-02, 6.7708333333e-01, -1.8095034762e-03, 7.8043010161e-02, -2.5925432409e-02
3.1250000000e-02, 6.9791666667e-01, -2.0395258913e-03, 8.1152566203e-02, -2.9174945978e-02
3.1250000000e-02, 7.1875000000e-01, -2.3794197707e-03, 8.4957933448e-02, -3.3461449241e-02
3.1250000000e-02, 7.3958333333e-01, -2.9921711740e-03, 8.8990424756e-02, -3.7929019843e-02
3.1250000000e-02, 7.6041666667e-01, -3.8009144036e-03, 9.4436828111e-02, -4.2111796986e-02
3.1250000000e-02, 7.8125000000e-01, -5.1831348370e-03, 1.0051415126e-01, -4.8795938012e-02
3.1250000000e-02, 8.0208333333e-01, -6.9216869220e-03, 1.0927953279e-01, -5.3057593825e-02
3.1250000000e-02, 8.2291666667e-01, -9.9595419426e-03, 1.1932276053e-01, -6.4030334901e-02
3.1250000000e-02, 8.4375000000e-01, -1.3646200024e-02, 1.3421395679e-01, -6.9044450290e-02
3.1250000000e-02, 8.6458333333e-01, -2.0586473447e-02, 1.5104933617e-01, -8.8558187460e-02
3.1250000000e-02, 8.8541666667e-01, -2.8268570006e-02, 1.7558849307e-01, -9.6046006784e-02
3.1250000000e-02, 9.0625000000e-01, -4.4199961477e-02, 2.0052821947e-01, -1.3174054007e-01
3.1250000000e-02, 9.2708333333e-01, -5.3914904059e-02, 2.3142402365e-01, -1.4447279257e-01
3.1250000000e-02, 9.4791666667e-01, -7.2444198785e-02, 2.4622551390e-01, -2.0132875385e-01
3.1250000000e-02, 9.6875000000e-01, 1.6608641277e-02, 2.2598755493e-01, -2.1947008104e-01
3.1250000000e-02, 9.8958333333e-01, 3.0561112187e-01, 1.1900529745e-01, -2.3067414294e-01
5.2083333333e-02, 1.0416666667e-02, 8.8706756051e-05, -5.7442217049e-05, 1.4556603543e-02
5.2083333333e-02, 3.1250000000e-02, -1.3266497912e-04, 9.5215246381e-05, 1.4822913743e-02
5.2083333333e-02, 5.2083333333e-02, -5.1684049740e-04, 4.0076864497e-04, 1.4755641384e-02
5.2083333333e-02, 7.2916666667e-02, -1.0389134447e-03, 1.1387851659e-03, 1.5341618011e-02
5.2083333333e-02, 9.3750000000e-02, -1.5791905984e-03, 2.1609342687e-03, 1.5162319537e-02
5.2083333333e-02, 1.1458333333e-01, -2.1479108417e-03, 3.6545758389e-03, 1.5932114916e-02
5.2083333333e-02, 1.3541666667e-01, -2.6925006410e-03, 5.4641360965e-03, 1.5572086388e-02
5.2083333333e-02, 1.5625000000e-01, -3.2328239008e-03, 7.7310552742e-03, 1.6410116773e-02
5.2083333333e-02, 1.7708333333e-01, -3.7389169571e-03, 1.0304266653e-02, 1.5801607620e-02
5.2083333333e-02, 1.9791666667e-01, -4.2306090839e-03, 1.3300296765e-02, 1.6611822380e-02
5.2083333333e-02, 2.1875000000e-01, -4.6838501812e-03, 1.6575499381e-02, 1.5693574026e-02
5.2083333333e-02, 2.3958333333e-01, -5.1176751992e-03, 2.0229023012e-02, 1.6393592766e-02
5.2083333333e-02, 2.6041666667e-01, -5.5076925763e-03, 2.4124487789e-02, 1.5111860897e-02
5.2083333333e-02, 2.8125000000e-01, -5.8737762632e-03, 2.8345212444e-02, 1.5629346808e-02
5.2083333333e-02, 3.0208333333e-01, -6.1885651360e-03, 3.2761915737e-02, 1.3939701890e-02
5.2083333333e-02, 3.2291666667e-01, -6.4750035350e-03, 3.7441223967e-02, 1.4211705291e-02
5.2083333333e-02, 3.4375000000e-01, -6.7014159507e-03, 4.2262103290e-02, 1.2082292531e-02
5.2083333333e-02, 3.6458333333e-01, -6.8963928640e-03, 4.7272794018e-02, 1.2056475680e-02
5.2083333333e-02, 3.8541666667e-01, -7.0229562421e-03, 5.2363679626e-02, 9.4721650469e-03
5.2083333333e-02, 4.0625000000e-01, -7.1184200310e-03, 5.7562740270e-02, 9.1084968737e-03
5.2083333333e-02, 4.2708333333e-01, -7.1393154356e-03, 6.2777557027e-02, 6.0750340724e-03
5.2083333333e-02, 4.4791666667e-01, -7.1355706544e-03, 6.8013906575e-02, 5.3464300058e-03
5.2083333333e-02, 4.6875000000e-01, -7.0552897005e-03, 7.3205656229e-02, 1.8936144583e-03
5.2083333333e-02, 4.8958333333e-01, -6.9662455420e-03, 7.8334013795e-02, 7.8385844808e-04
5.2083333333e-02, 5.1041666667e-01, -6.8047334662e-03, 8.3372540744e-02, -3.0331457637e-03
5.2083333333e-02, 5.3125000000e-01, -6.6639316891e-03, 8.8274212858e-02, -4.5360453839e-03
5.2083333333e-02, 5.5208333333e-01, -6.4625159055e-03, 9.3071706195e-02, -8.6378861214e-03
5.2083333333e-02, 5.7291666667e-01, -6.3309110641e-03, 9.7683263246e-02, -1.0555144211e-02
5.2083333333e-02, 5.9375000000e-01, -6.1604010619e-03, 1.0222920543e-01, -1.4842176113e-02
5.2083333333e-02, 6.1458333333e-01, -6.1386531572e-03, 1.0658119380e-01, -1.7227841762e-02
5.2083333333e-02, 6.3541666667e-01, -6.1131080982e-03, 1.1099067475e-01, -2.1586783914e-02
5.2083333333e-02, 6.5625000000e-01, -6.3645678154e-03, 1.1526126345e-01, -2.4568029412e-02
5.2083333333e-02, 6.7708333333e-01, -6.6679263308e-03, 1.1984486626e-01, -2.8882233579e-02
5.2083333333e-02, 6.9791666667e-01, -7.4647037888e-03, 1.2443765898e-01, -3.2731011658e-02
5.2083333333e-02, 7.1875000000e-01, -8.4032809146e-03, 1.2980682979e-01, -3.6898835653e-02
5.2083333333e-02, 7.3958333333e-01, -1.0218472578e-02, 1.3546460650e-01, -4.2169808144e-02
5.2083333333e-02, 7.6041666667e-01, -1.2318949383e-02, 1.4268596144e-01, -4.6146780610e-02
5.2083333333e-02, 7.8125000000e-01, -1.6002629828e-02, 1.5063433214e-01, -5.3964969143e-02
5.2083333333e-02, 8.0208333333e-01, -2.0165603692e-02, 1.6139991338e-01, -5.7876349029e-02
5.2083333333e-02, 8.2291666667e-01, -2.7225625431e-02, 1.7339262922e-01, -7.0565642370e-02
5.2083333333e-02, 8.4375000000e-01, -3.4779004490e-02, 1.8989329305e-01, -7.5012490161e-02
5.2083333333e-02, 8.6458333333e-01, -4.7395398190e-02, 2.0744096523e-01, -9.7411329513e-02
5.2083333333e-02, 8.8541666667e-01, -5.8514876979e-02, 2.3027859269e-01, -1.0420961980e-01
5.2083333333e-02, 9.0625000000e-01, -7.5403100743e-02, 2.4986917174e-01, -1.4549797012e-01
5.2083333333e-02, 9.2708333333e-01, -7.4261288616e-02, 2.6666408663e-01, -1.5865534084e-01
5.2083333333e-02, 9.4791666667e-01, -5.1903360561e-02, 2.6007593082e-01, -2.2679511442e-01
5.2083333333e-02, 9.6875000000e-01, 1.0199001298e-01, 2.0328827554e-01, -2.4828400746e-01
5.2083333333e-02, 9.8958333333e-01, 5.0370676906e-01, 9.2844045148e-02, -2.7630571705e-01
7.2916666667e-02, 1.0416666667e-02, 1.3610872648e-04, -3.6613170710e-05, 1.5169015572e-02
7.2916666667e-02, 3.1250000000e-02, -3.1231707667e-04, 2.8372662648e-04, 1.5542870776e-02
7.2916666667e-02, 5.2083333333e-02, -1.0291332954e-03, 8.7957579108e-04, 1.5420920355e-02
7.2916666667e-02, 7.2916666667e-02, -1.9454833027e-03, 1.9876684069e-03, 1.6017648884e-02
7.2916666667e-02, 9.3750000000e-02, -2.9038630799e-03, 3.4693438500e-03, 1.5746752235e-02
7.2916666667e-02, 1.1458333333e-01, -3.9027499876e-03, 5.5032467284e-03, 1.6491004786e-02
7.2916666667e-02, 1.3541666667e-01, -4.8755271064e-03, 7.9386650526e-03, 1.6025237741e-02
7.2916666667e-02, 1.5625000000e-01, -5.8335843092e-03, 1.0916846820e-02, 1.6837040585e-02
7.2916666667e-02, 1.7708333333e-01, -6.7448947808e-03, 1.4284750753e-02, 1.6122935142e-02
7.2916666667e-02, 1.9791666667e-01, -7.6196484600e-03, 1.8160379842e-02, 1.6925518100e-02
7.2916666667e-02, 2.1875000000e-01, -8.4385939802e-03, 2.2392857564e-02, 1.5909171813e-02
7.2916666667e-02, 2.3958333333e-01, -9.2079753748e-03, 2.7083152457e-02, 1.6631326439e-02
7.2916666667e-02, 2.6041666667e-01, -9.9127345246e-03, 3.2083842614e-02, 1.5262719111e-02
7.2916666667e-02, 2.8125000000e-01, -1.0556124343e-02, 3.7480359791e-02, 1.5839970414e-02
7.2916666667e-02, 3.0208333333e-01, -1.1123982583e-02, 4.3129239856e-02, 1.4076600564e-02
7.2916666667e-02, 3.2291666667e-01, -1.1618732177e-02, 4.9099752827e-02, 1.4452863225e-02
