TITLE="ugrid_n=25Re=100.dat" VARIABLES="x", "y", "u" ZONE T="ugrid_n=25Re=100.dat" I=22 J=23 F=POINT
4.3478260870e-02, 2.1739130435e-02, 2.1186774226e-04,
8.6956521739e-02, 2.1739130435e-02, -2.2794571291e-04,
1.3043478261e-01, 2.1739130435e-02, -1.4222975777e-03,
1.7391304348e-01, 2.1739130435e-02, -3.1888793859e-03,
2.1739130435e-01, 2.1739130435e-02, -5.3052851816e-03,
2.6086956522e-01, 2.1739130435e-02, -7.5777245664e-03,
3.0434782609e-01, 2.1739130435e-02, -9.8451473583e-03,
3.4782608696e-01, 2.1739130435e-02, -1.1964064204e-02,
3.9130434783e-01, 2.1739130435e-02, -1.3793789574e-02,
4.3478260870e-01, 2.1739130435e-02, -1.5190954719e-02,
4.7826086957e-01, 2.1739130435e-02, -1.6015756270e-02,
5.2173913043e-01, 2.1739130435e-02, -1.6148641214e-02,
5.6521739130e-01, 2.1739130435e-02, -1.5514567092e-02,
6.0869565217e-01, 2.1739130435e-02, -1.4109300061e-02,
6.5217391304e-01, 2.1739130435e-02, -1.2020322622e-02,
6.9565217391e-01, 2.1739130435e-02, -9.4349277017e-03,
7.3913043478e-01, 2.1739130435e-02, -6.6289953686e-03,
7.8260869565e-01, 2.1739130435e-02, -3.9336087858e-03,
8.2608695652e-01, 2.1739130435e-02, -1.6828628133e-03,
8.6956521739e-01, 2.1739130435e-02, -1.5015420929e-04,
9.1304347826e-01, 2.1739130435e-02, 5.2297556005e-04,
9.5652173913e-01, 2.1739130435e-02, 4.1809994686e-04,
4.3478260870e-02, 6.5217391304e-02, -4.5882653066e-04,
8.6956521739e-02, 6.5217391304e-02, -2.4843850554e-03,
1.3043478261e-01, 6.5217391304e-02, -6.0511522067e-03,
1.7391304348e-01, 6.5217391304e-02, -1.0810689554e-02,
2.1739130435e-01, 6.5217391304e-02, -1.6321932243e-02,
2.6086956522e-01, 6.5217391304e-02, -2.2154143957e-02,
3.0434782609e-01, 6.5217391304e-02, -2.7911630117e-02,
3.4782608696e-01, 6.5217391304e-02, -3.3224336792e-02,
3.9130434783e-01, 6.5217391304e-02, -3.7734338301e-02,
4.3478260870e-01, 6.5217391304e-02, -4.1095554699e-02,
4.7826086957e-01, 6.5217391304e-02, -4.2992633995e-02,
5.2173913043e-01, 6.5217391304e-02, -4.3177105834e-02,
5.6521739130e-01, 6.5217391304e-02, -4.1514525881e-02,
6.0869565217e-01, 6.5217391304e-02, -3.8032034534e-02,
6.5217391304e-01, 6.5217391304e-02, -3.2953173299e-02,
6.9565217391e-01, 6.5217391304e-02, -2.6707316580e-02,
7.3913043478e-01, 6.5217391304e-02, -1.9902557918e-02,
7.8260869565e-01, 6.5217391304e-02, -1.3256526874e-02,
8.2608695652e-01, 6.5217391304e-02, -7.4887975857e-03,
8.6956521739e-01, 6.5217391304e-02, -3.1872944182e-03,
9.1304347826e-01, 6.5217391304e-02, -6.6523550445e-04,
9.5652173913e-01, 6.5217391304e-02, 1.7911237645e-04,
4.3478260870e-02, 1.0869565217e-01, -1.3664165932e-03,
8.6956521739e-02, 1.0869565217e-01, -5.2509077926e-03,
1.3043478261e-01, 1.0869565217e-01, -1.1236481623e-02,
1.7391304348e-01, 1.0869565217e-01, -1.8762834085e-02,
2.1739130435e-01, 1.0869565217e-01, -2.7227061513e-02,
2.6086956522e-01, 1.0869565217e-01, -3.6042892285e-02,
3.0434782609e-01, 1.0869565217e-01, -4.4656198097e-02,
3.4782608696e-01, 1.0869565217e-01, -5.2537855779e-02,
3.9130434783e-01, 1.0869565217e-01, -5.9176638941e-02,
4.3478260870e-01, 1.0869565217e-01, -6.4087220236e-02,
4.7826086957e-01, 1.0869565217e-01, -6.6838937647e-02,
5.2173913043e-01, 1.0869565217e-01, -6.7102364394e-02,
5.6521739130e-01, 1.0869565217e-01, -6.4706498227e-02,
6.0869565217e-01, 1.0869565217e-01, -5.9695239506e-02,
6.5217391304e-01, 1.0869565217e-01, -5.2369357249e-02,
6.9565217391e-01, 1.0869565217e-01, -4.3299784991e-02,
7.3913043478e-01, 1.0869565217e-01, -3.3298149595e-02,
7.8260869565e-01, 1.0869565217e-01, -2.3334426885e-02,
8.2608695652e-01, 1.0869565217e-01, -1.4401750029e-02,
8.6956521739e-01, 1.0869565217e-01, -7.3427011413e-03,
9.1304347826e-01, 1.0869565217e-01, -2.6668642337e-03,
9.5652173913e-01, 1.0869565217e-01, -3.9926102579e-04,
4.3478260870e-02, 1.5217391304e-01, -2.2607500442e-03,
8.6956521739e-02, 1.5217391304e-01, -8.0189093081e-03,
1.3043478261e-01, 1.5217391304e-01, -1.6378155038e-02,
1.7391304348e-01, 1.5217391304e-01, -2.6512568258e-02,
2.1739130435e-01, 1.5217391304e-01, -3.7659842292e-02,
2.6086956522e-01, 1.5217391304e-01, -4.9116117496e-02,
3.0434782609e-01, 1.5217391304e-01, -6.0221525985e-02,
3.4782608696e-01, 1.5217391304e-01, -7.0343367421e-02,
3.9130434783e-01, 1.5217391304e-01, -7.8869109426e-02,
4.3478260870e-01, 1.5217391304e-01, -8.5218055128e-02,
4.7826086957e-01, 1.5217391304e-01, -8.8874100466e-02,
5.2173913043e-01, 1.5217391304e-01, -8.9436004096e-02,
5.6521739130e-01, 1.5217391304e-01, -8.6678812307e-02,
6.0869565217e-01, 1.5217391304e-01, -8.0617193673e-02,
6.5217391304e-01, 1.5217391304e-01, -7.1558879418e-02,
6.9565217391e-01, 1.5217391304e-01, -6.0133422544e-02,
7.3913043478e-01, 1.5217391304e-01, -4.7277908057e-02,
7.8260869565e-01, 1.5217391304e-01, -3.4161082696e-02,
8.2608695652e-01, 1.5217391304e-01, -2.2036620528e-02,
8.6956521739e-01, 1.5217391304e-01, -1.2037222058e-02,
9.1304347826e-01, 1.5217391304e-01, -4.9506819578e-03,
9.5652173913e-01, 1.5217391304e-01, -1.0433777975e-03,
4.3478260870e-02, 1.9565217391e-01, -3.0764869500e-03,
8.6956521739e-02, 1.9565217391e-01, -1.0593013985e-02,
1.3043478261e-01, 1.9565217391e-01, -2.1185265235e-02,
1.7391304348e-01, 1.9565217391e-01, -3.3748904986e-02,
2.1739130435e-01, 1.9565217391e-01, -4.7364035744e-02,
2.6086956522e-01, 1.9565217391e-01, -6.1231867503e-02,
3.0434782609e-01, 1.9565217391e-01, -7.4623778061e-02,
3.4782608696e-01, 1.9565217391e-01, -8.6845835905e-02,
3.9130434783e-01, 1.9565217391e-01, -9.7223519750e-02,
4.3478260870e-01, 1.9565217391e-01, -1.0510949251e-01,
4.7826086957e-01, 1.9565217391e-01, -1.0991322143e-01,
5.2173913043e-01, 1.9565217391e-01, -1.1114913291e-01,
5.6521739130e-01, 1.9565217391e-01, -1.0849929656e-01,
6.0869565217e-01, 1.9565217391e-01, -1.0188557979e-01,
6.5217391304e-01, 1.9565217391e-01, -9.1542824011e-02,
6.9565217391e-01, 1.9565217391e-01, -7.8078356586e-02,
7.3913043478e-01, 1.9565217391e-01, -6.2493583990e-02,
7.8260869565e-01, 1.9565217391e-01, -4.6136083060e-02,
8.2608695652e-01, 1.9565217391e-01, -3.0555552534e-02,
8.6956521739e-01, 1.9565217391e-01, -1.7263258351e-02,
9.1304347826e-01, 1.9565217391e-01, -7.4427396680e-03,
9.5652173913e-01, 1.9565217391e-01, -1.7066833444e-03,
4.3478260870e-02, 2.3913043478e-01, -3.7935190464e-03,
8.6956521739e-02, 2.3913043478e-01, -1.2882904426e-02,
1.3043478261e-01, 2.3913043478e-01, -2.5490581365e-02,
1.7391304348e-01, 2.3913043478e-01, -4.0255940013e-02,
2.1739130435e-01, 2.3913043478e-01, -5.6116974527e-02,
2.6086956522e-01, 2.3913043478e-01, -7.2201758513e-02,
3.0434782609e-01, 2.3913043478e-01, -8.7742799119e-02,
3.4782608696e-01, 2.3913043478e-01, -1.0201880254e-01,
3.9130434783e-01, 2.3913043478e-01, -1.1432436301e-01,
4.3478260870e-01, 2.3913043478e-01, -1.2396629305e-01,
4.7826086957e-01, 2.3913043478e-01, -1.3028311641e-01,
5.2173913043e-01, 2.3913043478e-01, -1.3268527283e-01,
5.6521739130e-01, 2.3913043478e-01, -1.3071611680e-01,
6.0869565217e-01, 2.3913043478e-01, -1.2413396097e-01,
6.5217391304e-01, 2.3913043478e-01, -1.1301196638e-01,
6.9565217391e-01, 2.3913043478e-01, -9.7842976409e-02,
7.3913043478e-01, 2.3913043478e-01, -7.9619820841e-02,
7.8260869565e-01, 2.3913043478e-01, -5.9843372822e-02,
8.2608695652e-01, 2.3913043478e-01, -4.0404173329e-02,
8.6956521739e-01, 2.3913043478e-01, -2.3308355055e-02,
9.1304347826e-01, 2.3913043478e-01, -1.0289387391e-02,
9.5652173913e-01, 2.3913043478e-01, -2.4368270904e-03,
4.3478260870e-02, 2.8260869565e-01, -4.3961042689e-03,
8.6956521739e-02, 2.8260869565e-01, -1.4821720199e-02,
1.3043478261e-01, 2.8260869565e-01, -2.9160310292e-02,
1.7391304348e-01, 2.8260869565e-01, -4.5837901965e-02,
2.1739130435e-01, 2.8260869565e-01, -6.3677616505e-02,
2.6086956522e-01, 2.8260869565e-01, -8.1758922162e-02,
3.0434782609e-01, 2.8260869565e-01, -9.9303002908e-02,
3.4782608696e-01, 2.8260869565e-01, -1.1559115013e-01,
3.9130434783e-01, 2.8260869565e-01, -1.2991550659e-01,
4.3478260870e-01, 2.8260869565e-01, -1.4155782122e-01,
4.7826086957e-01, 2.8260869565e-01, -1.4979249705e-01,
5.2173913043e-01, 2.8260869565e-01, -1.5391286831e-01,
5.6521739130e-01, 2.8260869565e-01, -1.5328536160e-01,
6.0869565217e-01, 2.8260869565e-01, -1.4743843162e-01,
6.5217391304e-01, 2.8260869565e-01, -1.3619015356e-01,
6.9565217391e-01, 2.8260869565e-01, -1.1980751800e-01,
7.3913043478e-01, 2.8260869565e-01, -9.9167428161e-02,
7.8260869565e-01, 2.8260869565e-01, -7.5857212621e-02,
8.2608695652e-01, 2.8260869565e-01, -5.2124035993e-02,
8.6956521739e-01, 2.8260869565e-01, -3.0589494373e-02,
9.1304347826e-01, 2.8260869565e-01, -1.3734016121e-02,
9.5652173913e-01, 2.8260869565e-01, -3.3169808317e-03,
4.3478260870e-02, 3.2608695652e-01, -4.8643584774e-03,
8.6956521739e-02, 3.2608695652e-01, -1.6341524823e-02,
1.3043478261e-01, 3.2608695652e-01, -3.2061311544e-02,
1.7391304348e-01, 3.2608695652e-01, -5.0288789130e-02,
2.1739130435e-01, 3.2608695652e-01, -6.9764923020e-02,
2.6086956522e-01, 3.2608695652e-01, -8.9546185880e-02,
3.0434782609e-01, 3.2608695652e-01, -1.0886859475e-01,
3.4782608696e-01, 3.2608695652e-01, -1.2704495878e-01,
3.9130434783e-01, 3.2608695652e-01, -1.4339492211e-01,
4.3478260870e-01, 3.2608695652e-01, -1.5720264374e-01,
4.7826086957e-01, 3.2608695652e-01, -1.6769814021e-01,
5.2173913043e-01, 3.2608695652e-01, -1.7406352570e-01,
5.6521739130e-01, 3.2608695652e-01, -1.7547248438e-01,
6.0869565217e-01, 3.2608695652e-01, -1.7117673926e-01,
6.5217391304e-01, 3.2608695652e-01, -1.6065287364e-01,
6.9565217391e-01, 3.2608695652e-01, -1.4381425046e-01,
7.3913043478e-01, 3.2608695652e-01, -1.2126737944e-01,
7.8260869565e-01, 3.2608695652e-01, -9.4546273132e-02,
8.2608695652e-01, 3.2608695652e-01, -6.6196880994e-02,
8.6956521739e-01, 3.2608695652e-01, -3.9544751334e-02,
9.1304347826e-01, 3.2608695652e-01, -1.8054010988e-02,
9.5652173913e-01, 3.2608695652e-01, -4.4429208479e-03,
4.3478260870e-02, 3.6956521739e-01, -5.1765537300e-03,
8.6956521739e-02, 3.6956521739e-01, -1.7374771403e-02,
1.3043478261e-01, 3.6956521739e-01, -3.4062099216e-02,
1.7391304348e-01, 3.6956521739e-01, -5.3396372086e-02,
2.1739130435e-01, 3.6956521739e-01, -7.4068119947e-02,
2.6086956522e-01, 3.6956521739e-01, -9.5134298801e-02,
3.0434782609e-01, 3.6956521739e-01, -1.1586959111e-01,
3.4782608696e-01, 3.6956521739e-01, -1.3564677038e-01,
3.9130434783e-01, 3.6956521739e-01, -1.5384677612e-01,
4.3478260870e-01, 3.6956521739e-01, -1.6979412549e-01,
4.7826086957e-01, 3.6956521739e-01, -1.8271368492e-01,
5.2173913043e-01, 3.6956521739e-01, -1.9171109874e-01,
5.6521739130e-01, 3.6956521739e-01, -1.9578773826e-01,
6.0869565217e-01, 3.6956521739e-01, -1.9390904943e-01,
6.5217391304e-01, 3.6956521739e-01, -1.8515082364e-01,
6.9565217391e-01, 3.6956521739e-01, -1.6894560343e-01,
7.3913043478e-01, 3.6956521739e-01, -1.4543222897e-01,
7.8260869565e-01, 3.6956521739e-01, -1.1585827354e-01,
8.2608695652e-01, 3.6956521739e-01, -8.2887428475e-02,
8.6956521739e-01, 3.6956521739e-01, -5.0544724343e-02,
9.1304347826e-01, 3.6956521739e-01, -2.3524769110e-02,
9.5652173913e-01, 3.6956521739e-01, -5.9153203872e-03,
4.3478260870e-02, 4.1304347826e-01, -5.3156845200e-03,
8.6956521739e-02, 4.1304347826e-01, -1.7869031408e-02,
1.3043478261e-01, 4.1304347826e-01, -3.5055167127e-02,
1.7391304348e-01, 4.1304347826e-01, -5.4972483469e-02,
2.1739130435e-01, 4.1304347826e-01, -7.6286842728e-02,
2.6086956522e-01, 4.1304347826e-01, -9.8074120333e-02,
3.0434782609e-01, 4.1304347826e-01, -1.1966795213e-01,
3.4782608696e-01, 4.1304347826e-01, -1.4052837610e-01,
3.9130434783e-01, 4.1304347826e-01, -1.6013493533e-01,
4.3478260870e-01, 4.1304347826e-01, -1.7790128148e-01,
4.7826086957e-01, 4.1304347826e-01, -1.9310730129e-01,
5.2173913043e-01, 4.1304347826e-01, -2.0485020181e-01,
5.6521739130e-01, 4.1304347826e-01, -2.1202502452e-01,
6.0869565217e-01, 4.1304347826e-01, -2.1335576101e-01,
6.5217391304e-01, 4.1304347826e-01, -2.0751100677e-01,
6.9565217391e-01, 4.1304347826e-01, -1.9334826069e-01,
7.3913043478e-01, 4.1304347826e-01, -1.7032699004e-01,
7.8260869565e-01, 4.1304347826e-01, -1.3908655111e-01,
8.2608695652e-01, 4.1304347826e-01, -1.0206255486e-01,
8.6956521739e-01, 4.1304347826e-01, -6.3795497034e-02,
9.1304347826e-01, 4.1304347826e-01, -3.0389941822e-02,
9.5652173913e-01, 4.1304347826e-01, -7.8376557650e-03,
4.3478260870e-02, 4.5652173913e-01, -5.2782661479e-03,
8.6956521739e-02, 4.5652173913e-01, -1.7809794402e-02,
1.3043478261e-01, 4.5652173913e-01, -3.4993617008e-02,
1.7391304348e-01, 4.5652173913e-01, -5.4903146568e-02,
2.1739130435e-01, 4.5652173913e-01, -7.6196164540e-02,
2.6086956522e-01, 4.5652173913e-01, -9.7980133434e-02,
3.0434782609e-01, 4.5652173913e-01, -1.1966429530e-01,
3.4782608696e-01, 4.5652173913e-01, -1.4082153168e-01,
3.9130434783e-01, 4.5652173913e-01, -1.6106867543e-01,
4.3478260870e-01, 4.5652173913e-01, -1.7996432702e-01,
4.7826086957e-01, 4.5652173913e-01, -1.9691960159e-01,
5.2173913043e-01, 4.5652173913e-01, -2.1112032836e-01,
5.6521739130e-01, 4.5652173913e-01, -2.2146681201e-01,
6.0869565217e-01, 4.5652173913e-01, -2.2655007708e-01,
6.5217391304e-01, 4.5652173913e-01, -2.2470263579e-01,
6.9565217391e-01, 4.5652173913e-01, -2.1418817938e-01,
7.3913043478e-01, 4.5652173913e-01, -1.9361565129e-01,
7.8260869565e-01, 4.5652173913e-01, -1.6265049560e-01,
8.2608695652e-01, 4.5652173913e-01, -1.2298306477e-01,
8.6956521739e-01, 4.5652173913e-01, -7.9212177684e-02,
9.1304347826e-01, 4.5652173913e-01, -3.8822818925e-02,
9.5652173913e-01, 4.5652173913e-01, -1.0314959575e-02,
4.3478260870e-02, 5.0000000000e-01, -5.0847401103e-03,
8.6956521739e-02, 5.0000000000e-01, -1.7248687026e-02,
1.3043478261e-01, 5.0000000000e-01, -3.3937286422e-02,
1.7391304348e-01, 5.0000000000e-01, -5.3211459206e-02,
2.1739130435e-01, 5.0000000000e-01, -7.3727551337e-02,
2.6086956522e-01, 5.0000000000e-01, -9.4634343251e-02,
3.0434782609e-01, 5.0000000000e-01, -1.1543273438e-01,
3.4782608696e-01, 5.0000000000e-01, -1.3583318614e-01,
3.9130434783e-01, 5.0000000000e-01, -1.5562727292e-01,
4.3478260870e-01, 5.0000000000e-01, -1.7457437303e-01,
4.7826086957e-01, 5.0000000000e-01, -1.9229774598e-01,
5.2173913043e-01, 5.0000000000e-01, -2.0818351238e-01,
5.6521739130e-01, 5.0000000000e-01, -2.2128098179e-01,
6.0869565217e-01, 5.0000000000e-01, -2.3021465882e-01,
6.5217391304e-01, 5.0000000000e-01, -2.3314178632e-01,
6.9565217391e-01, 5.0000000000e-01, -2.2782948808e-01,
7.3913043478e-01, 5.0000000000e-01, -2.1197861436e-01,
7.8260869565e-01, 5.0000000000e-01, -1.8396224157e-01,
8.2608695652e-01, 5.0000000000e-01, -1.4409654635e-01,
8.6956521739e-01, 5.0000000000e-01, -9.6254581432e-02,
