TITLE="vgrid_n=25Re=100.dat" VARIABLES="x", "y", "v" ZONE T="vgrid_n=25Re=100.dat" I=23 J=22 F=POINT
2.1739130435e-02, 4.3478260870e-02, -2.1174508062e-04,
6.5217391304e-02, 4.3478260870e-02, 4.3986953051e-04,
1.0869565217e-01, 4.3478260870e-02, 1.1943519069e-03,
1.5217391304e-01, 4.3478260870e-02, 1.7666908155e-03,
1.9565217391e-01, 4.3478260870e-02, 2.1164509480e-03,
2.3913043478e-01, 4.3478260870e-02, 2.2724626598e-03,
2.8260869565e-01, 4.3478260870e-02, 2.2674804053e-03,
3.2608695652e-01, 4.3478260870e-02, 2.1189511914e-03,
3.6956521739e-01, 4.3478260870e-02, 1.8297409555e-03,
4.1304347826e-01, 4.3478260870e-02, 1.3972135635e-03,
4.5652173913e-01, 4.3478260870e-02, 8.2482848096e-04,
5.0000000000e-01, 4.3478260870e-02, 1.3289782857e-04,
5.4347826087e-01, 4.3478260870e-02, -6.3403847213e-04,
5.8695652174e-01, 4.3478260870e-02, -1.4052493416e-03,
6.3043478261e-01, 4.3478260870e-02, -2.0889736001e-03,
6.7391304348e-01, 4.3478260870e-02, -2.5853655122e-03,
7.1739130435e-01, 4.3478260870e-02, -2.8059155780e-03,
7.6086956522e-01, 4.3478260870e-02, -2.6953826807e-03,
8.0434782609e-01, 4.3478260870e-02, -2.2507166146e-03,
8.4782608696e-01, 4.3478260870e-02, -1.5326947977e-03,
8.9130434783e-01, 4.3478260870e-02, -6.7312052540e-04,
9.3478260870e-01, 4.3478260870e-02, 1.0489671890e-04,
9.7826086957e-01, 4.3478260870e-02, 4.1811672561e-04,
2.1739130435e-02, 8.6956521739e-02, 2.4713506568e-04,
6.5217391304e-02, 8.6956521739e-02, 2.4654246264e-03,
1.0869565217e-01, 8.6956521739e-02, 4.7610616404e-03,
1.5217391304e-01, 8.6956521739e-02, 6.5262692905e-03,
1.9565217391e-01, 8.6956521739e-02, 7.6276881842e-03,
2.3913043478e-01, 8.6956521739e-02, 8.1046478980e-03,
2.8260869565e-01, 8.6956521739e-02, 8.0249841660e-03,
3.2608695652e-01, 8.6956521739e-02, 7.4316444895e-03,
3.6956521739e-01, 8.6956521739e-02, 6.3397236218e-03,
4.1304347826e-01, 8.6956521739e-02, 4.7584445636e-03,
4.5652173913e-01, 8.6956521739e-02, 2.7218962752e-03,
5.0000000000e-01, 8.6956521739e-02, 3.1734584745e-04,
5.4347826087e-01, 8.6956521739e-02, -2.2966025245e-03,
5.8695652174e-01, 8.6956521739e-02, -4.8877441020e-03,
6.3043478261e-01, 8.6956521739e-02, -7.1678453437e-03,
6.7391304348e-01, 8.6956521739e-02, -8.8312168241e-03,
7.1739130435e-01, 8.6956521739e-02, -9.6106769943e-03,
7.6086956522e-01, 8.6956521739e-02, -9.3414213565e-03,
8.0434782609e-01, 8.6956521739e-02, -8.0184412732e-03,
8.4782608696e-01, 8.6956521739e-02, -5.8341987390e-03,
8.9130434783e-01, 8.6956521739e-02, -3.1951901601e-03,
9.3478260870e-01, 8.6956521739e-02, -7.3944519079e-04,
9.7826086957e-01, 8.6956521739e-02, 5.9722474897e-04,
2.1739130435e-02, 1.3043478261e-01, 1.6136056291e-03,
6.5217391304e-02, 1.3043478261e-01, 6.3499006094e-03,
1.0869565217e-01, 1.3043478261e-01, 1.0746587939e-02,
1.5217391304e-01, 1.3043478261e-01, 1.4052658474e-02,
1.9565217391e-01, 1.3043478261e-01, 1.6091905825e-02,
2.3913043478e-01, 1.3043478261e-01, 1.6920464275e-02,
2.8260869565e-01, 1.3043478261e-01, 1.6638302936e-02,
3.2608695652e-01, 1.3043478261e-01, 1.5313309572e-02,
3.6956521739e-01, 1.3043478261e-01, 1.2978483047e-02,
4.1304347826e-01, 1.3043478261e-01, 9.6690424777e-03,
4.5652173913e-01, 1.3043478261e-01, 5.4736126237e-03,
5.0000000000e-01, 1.3043478261e-01, 5.8075434889e-04,
5.4347826087e-01, 1.3043478261e-01, -4.6924569545e-03,
5.8695652174e-01, 1.3043478261e-01, -9.8990045284e-03,
6.3043478261e-01, 1.3043478261e-01, -1.4493734520e-02,
6.7391304348e-01, 1.3043478261e-01, -1.7900774356e-02,
7.1739130435e-01, 1.3043478261e-01, -1.9612319813e-02,
7.6086956522e-01, 1.3043478261e-01, -1.9305157947e-02,
8.0434782609e-01, 1.3043478261e-01, -1.6951109106e-02,
8.4782608696e-01, 1.3043478261e-01, -1.2893249309e-02,
8.9130434783e-01, 1.3043478261e-01, -7.8710385179e-03,
9.3478260870e-01, 1.3043478261e-01, -3.0070412147e-03,
9.7826086957e-01, 1.3043478261e-01, 1.9796098721e-04,
2.1739130435e-02, 1.7391304348e-01, 3.8744018762e-03,
6.5217391304e-02, 1.7391304348e-01, 1.2108049117e-02,
1.0869565217e-01, 1.7391304348e-01, 1.9105791150e-02,
1.5217391304e-01, 1.7391304348e-01, 2.4187106950e-02,
1.9565217391e-01, 1.7391304348e-01, 2.7239179031e-02,
2.3913043478e-01, 1.7391304348e-01, 2.8376722215e-02,
2.8260869565e-01, 1.7391304348e-01, 2.7743711016e-02,
3.2608695652e-01, 1.7391304348e-01, 2.5435148533e-02,
3.6956521739e-01, 1.7391304348e-01, 2.1504207059e-02,
4.1304347826e-01, 1.7391304348e-01, 1.6017996963e-02,
4.5652173913e-01, 1.7391304348e-01, 9.1296565186e-03,
5.0000000000e-01, 1.7391304348e-01, 1.1426514908e-03,
5.4347826087e-01, 1.7391304348e-01, -7.4496457346e-03,
5.8695652174e-01, 1.7391304348e-01, -1.5960630102e-02,
6.3043478261e-01, 1.7391304348e-01, -2.3552062163e-02,
6.7391304348e-01, 1.7391304348e-01, -2.9326223170e-02,
7.1739130435e-01, 1.7391304348e-01, -3.2467830843e-02,
7.6086956522e-01, 1.7391304348e-01, -3.2421992154e-02,
8.0434782609e-01, 1.7391304348e-01, -2.9075566128e-02,
8.4782608696e-01, 1.7391304348e-01, -2.2892648346e-02,
8.9130434783e-01, 1.7391304348e-01, -1.4957571475e-02,
9.3478260870e-01, 1.7391304348e-01, -6.9143448785e-03,
9.7826086957e-01, 1.7391304348e-01, -8.4541433252e-04,
2.1739130435e-02, 2.1739130435e-01, 6.9509213119e-03,
6.5217391304e-02, 2.1739130435e-01, 1.9624575669e-02,
1.0869565217e-01, 2.1739130435e-01, 2.9698000886e-02,
1.5217391304e-01, 2.1739130435e-01, 3.6750777584e-02,
1.9565217391e-01, 2.1739130435e-01, 4.0854302134e-02,
2.3913043478e-01, 2.1739130435e-01, 4.2244540517e-02,
2.8260869565e-01, 2.1739130435e-01, 4.1135626838e-02,
3.2608695652e-01, 2.1739130435e-01, 3.7657194494e-02,
3.6956521739e-01, 2.1739130435e-01, 3.1881884855e-02,
4.1304347826e-01, 2.1739130435e-01, 2.3903970282e-02,
4.5652173913e-01, 2.1739130435e-01, 1.3933383109e-02,
5.0000000000e-01, 2.1739130435e-01, 2.3785547299e-03,
5.4347826087e-01, 2.1739130435e-01, -1.0099471971e-02,
5.8695652174e-01, 2.1739130435e-01, -2.2574348737e-02,
6.3043478261e-01, 2.1739130435e-01, -3.3894832524e-02,
6.7391304348e-01, 2.1739130435e-01, -4.2790687136e-02,
7.1739130435e-01, 2.1739130435e-01, -4.8052603553e-02,
7.6086956522e-01, 2.1739130435e-01, -4.8779500619e-02,
8.0434782609e-01, 2.1739130435e-01, -4.4656090230e-02,
8.4782608696e-01, 2.1739130435e-01, -3.6184955017e-02,
8.9130434783e-01, 2.1739130435e-01, -2.4778084111e-02,
9.3478260870e-01, 2.1739130435e-01, -1.2650408277e-02,
9.7826086957e-01, 2.1739130435e-01, -2.5520990136e-03,
2.1739130435e-02, 2.6086956522e-01, 1.0744473202e-02,
6.5217391304e-02, 2.6086956522e-01, 2.8713954023e-02,
1.0869565217e-01, 2.6086956522e-01, 4.2305643290e-02,
1.5217391304e-01, 2.6086956522e-01, 5.1516167434e-02,
1.9565217391e-01, 2.6086956522e-01, 5.6715331850e-02,
2.3913043478e-01, 2.6086956522e-01, 5.8329300358e-02,
2.8260869565e-01, 2.6086956522e-01, 5.6676693401e-02,
3.2608695652e-01, 2.6086956522e-01, 5.1933186692e-02,
3.6956521739e-01, 2.6086956522e-01, 4.4187431937e-02,
4.1304347826e-01, 2.6086956522e-01, 3.3545908346e-02,
4.5652173913e-01, 2.6086956522e-01, 2.0250194537e-02,
5.0000000000e-01, 2.6086956522e-01, 4.7807040536e-03,
5.4347826087e-01, 2.6086956522e-01, -1.2068619484e-02,
5.8695652174e-01, 2.6086956522e-01, -2.9156500337e-02,
6.3043478261e-01, 2.6086956522e-01, -4.5016828684e-02,
6.7391304348e-01, 2.6086956522e-01, -5.7959668025e-02,
7.1739130435e-01, 2.6086956522e-01, -6.6275762392e-02,
7.6086956522e-01, 2.6086956522e-01, -6.8555959868e-02,
8.0434782609e-01, 2.6086956522e-01, -6.4095282123e-02,
8.4782608696e-01, 2.6086956522e-01, -5.3280777064e-02,
8.9130434783e-01, 2.6086956522e-01, -3.7797048229e-02,
9.3478260870e-01, 2.6086956522e-01, -2.0502969379e-02,
9.7826086957e-01, 2.6086956522e-01, -4.9889289931e-03,
2.1739130435e-02, 3.0434782609e-01, 1.5140607816e-02,
6.5217391304e-02, 3.0434782609e-01, 3.9139559628e-02,
