TITLE="Solution_n=51_Re=100_BCM=1_CM=2_U=0.10.dat" VARIABLES="x", "y", "u", "v", "vmag", "omegaxy", "vortz" ZONE T="Solution_n=51_Re=100_BCM=1_CM=2_U=0.10.dat" I=51 J=51 F=POINT
0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, -0.0126891964, -0.0000000000
0.0000000000, 0.0200000000, -0.0000000000, 0.0000000000, 0.0000000000, 0.0015456091, 152.8693689829
0.0000000000, 0.0400000000, 0.0000000000, -0.0000000000, 0.0000000000, -0.0003606917, 11.4239266387
0.0000000000, 0.0600000000, 0.0000000000, 0.0000000000, 0.0000000000, -0.0001607012, 3.5178352684
0.0000000000, 0.0800000000, -0.0000000000, 0.0000000000, 0.0000000000, 0.0000753031, 1.3397630898
0.0000000000, 0.1000000000, 0.0000000000, 0.0000000000, 0.0000000000, -0.0000026232, -4.1270619682
0.0000000000, 0.1200000000, -0.0000000000, 0.0000000000, 0.0000000000, 0.0000025950, -2.3939443936
0.0000000000, 0.1400000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000128630, -2.0392999374
0.0000000000, 0.1600000000, -0.0000000000, 0.0000000000, 0.0000000000, 0.0000134090, -2.2920336127
0.0000000000, 0.1800000000, -0.0000000000, 0.0000000000, 0.0000000000, 0.0000181526, -2.2803163183
0.0000000000, 0.2000000000, -0.0000000000, 0.0000000000, 0.0000000000, 0.0000239154, -2.3241626773
0.0000000000, 0.2200000000, 0.0000000000, -0.0000000000, 0.0000000000, 0.0000300098, -2.4023402354
0.0000000000, 0.2400000000, 0.0000000000, -0.0000000000, 0.0000000000, 0.0000368975, -2.4728552129
0.0000000000, 0.2600000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000444026, -2.5432138062
0.0000000000, 0.2800000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000524408, -2.6092521281
0.0000000000, 0.3000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000609723, -2.6639750532
0.0000000000, 0.3200000000, -0.0000000000, 0.0000000000, 0.0000000000, 0.0000699316, -2.6999983342
0.0000000000, 0.3400000000, 0.0000000000, -0.0000000000, 0.0000000000, 0.0000792538, -2.7070761207
0.0000000000, 0.3600000000, -0.0000000000, 0.0000000000, 0.0000000000, 0.0000888727, -2.6720589424
0.0000000000, 0.3800000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000987185, -2.5785515819
0.0000000000, 0.4000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0001087196, -2.4062958812
0.0000000000, 0.4200000000, 0.0000000000, -0.0000000000, 0.0000000000, 0.0001188033, -2.1305287514
0.0000000000, 0.4400000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0001288974, -1.7212015698
0.0000000000, 0.4600000000, -0.0000000000, 0.0000000000, 0.0000000000, 0.0001389322, -1.1420568132
0.0000000000, 0.4800000000, -0.0000000000, -0.0000000000, 0.0000000000, 0.0001488429, -0.3495713217
0.0000000000, 0.5000000000, -0.0000000000, 0.0000000000, 0.0000000000, 0.0001585723, 0.7082339999
0.0000000000, 0.5200000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0001680745, 2.0931110757
0.0000000000, 0.5400000000, -0.0000000000, 0.0000000000, 0.0000000000, 0.0001773182, 3.8780204729
0.0000000000, 0.5600000000, 0.0000000000, -0.0000000000, 0.0000000000, 0.0001862919, 6.1486843313
0.0000000000, 0.5800000000, -0.0000000000, -0.0000000000, 0.0000000000, 0.0001950090, 9.0052687526
0.0000000000, 0.6000000000, -0.0000000000, -0.0000000000, 0.0000000000, 0.0002035147, 12.5642373286
0.0000000000, 0.6200000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0002118942, 16.9604773235
0.0000000000, 0.6400000000, -0.0000000000, 0.0000000000, 0.0000000000, 0.0002202836, 22.3498876341
