TITLE="Solution_n=29_m=29_Re=400_BCM=0_CM=2_G=1.00_U=0.10.dat" VARIABLES="x", "y", "u", "v", "vmag", "omegaxy", "vortz" ZONE T="Solution_n=29_m=29_Re=400_BCM=0_CM=2_G=1.00_U=0.10.dat" I=29 J=29 F=POINT
0.0172413793, 0.0172413793, 0.0006972659, 0.0010249451, 0.0001239634, 0.0000074693, 0.0081547466
0.0517241379, 0.0172413793, -0.0003410856, 0.0007318448, 0.0000807426, -0.0000007868, -0.0131106604
0.0862068966, 0.0172413793, -0.0014560469, 0.0001409136, 0.0001462850, -0.0000018373, 0.0720647773
0.1206896552, 0.0172413793, -0.0024752187, 0.0004787171, 0.0002521087, -0.0000035701, 0.1734350156
0.1551724138, 0.0172413793, -0.0040937043, 0.0005841790, 0.0004135176, -0.0000059793, 0.2445030631
0.1896551724, 0.0172413793, -0.0057163294, 0.0005108877, 0.0005739114, -0.0000082670, 0.3327288375
0.2241379310, 0.0172413793, -0.0071907266, 0.0004714599, 0.0007206166, -0.0000104008, 0.4227034412
0.2586206897, 0.0172413793, -0.0085190192, 0.0004113952, 0.0008528947, -0.0000123325, 0.4985570351
0.2931034483, 0.0172413793, -0.0095961632, 0.0003076383, 0.0009601093, -0.0000138855, 0.5593538111
0.3275862069, 0.0172413793, -0.0103288912, 0.0001815787, 0.0010330487, -0.0000149416, 0.6012071019
0.3620689655, 0.0172413793, -0.0106653262, 0.0000431932, 0.0010665414, -0.0000154261, 0.6197496081
0.3965517241, 0.0172413793, -0.0105820332, -0.0000979095, 0.0010582486, -0.0000153024, 0.6137755352
0.4310344828, 0.0172413793, -0.0100903466, -0.0002292454, 0.0010092950, -0.0000145891, 0.5842957385
0.4655172414, 0.0172413793, -0.0092352557, -0.0003405315, 0.0009241532, -0.0000133520, 0.5339570591
0.5000000000, 0.0172413793, -0.0080858601, -0.0004259627, 0.0008097072, -0.0000116916, 0.4666858569
0.5344827586, 0.0172413793, -0.0067228626, -0.0004834051, 0.0006740220, -0.0000097244, 0.3872421418
0.5689655172, 0.0172413793, -0.0052349360, -0.0005091823, 0.0005259641, -0.0000075763, 0.3009194599
