TITLE="Solution_n=29Re=100_DIAG=0_2RT_M=0.250.dat" VARIABLES="x", "y", "z", "u", "v", "w", "vmag" ZONE T="Solution_n=29Re=100_DIAG=0_2RT_M=0.250.dat" I=29 J=29 K=29 F=POINT
0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
0.0000000000, 0.0000000000, 1.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
0.0000000000, 0.0000000000, 2.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
0.0000000000, 0.0000000000, 3.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
0.0000000000, 0.0000000000, 4.0000000000, -0.0000000000, 0.0000000000, -0.0000000000, 0.0000000000
0.0000000000, 0.0000000000, 5.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
0.0000000000, 0.0000000000, 6.0000000000, -0.0000000000, 0.0000000000, -0.0000000000, 0.0000000000
0.0000000000, 0.0000000000, 7.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
0.0000000000, 0.0000000000, 8.0000000000, 0.0000000000, -0.0000000000, 0.0000000000, 0.0000000000
0.0000000000, 0.0000000000, 9.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
0.0000000000, 0.0000000000, 10.0000000000, -0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
0.0000000000, 0.0000000000, 11.0000000000, -0.0000000000, 0.0000000000, -0.0000000000, 0.0000000000
0.0000000000, 0.0000000000, 12.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
0.0000000000, 0.0000000000, 13.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
0.0000000000, 0.0000000000, 14.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
0.0000000000, 0.0000000000, 15.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
0.0000000000, 0.0000000000, 16.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
0.0000000000, 0.0000000000, 17.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
0.0000000000, 0.0000000000, 18.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
0.0000000000, 0.0000000000, 19.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
0.0000000000, 0.0000000000, 20.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
0.0000000000, 0.0000000000, 21.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
0.0000000000, 0.0000000000, 22.0000000000, 0.0000000000, 0.0000000000, -0.0000000000, 0.0000000000
0.0000000000, 0.0000000000, 23.0000000000, 0.0000000000, 0.0000000000, -0.0000000000, 0.0000000000
0.0000000000, 0.0000000000, 24.0000000000, -0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
0.0000000000, 0.0000000000, 25.0000000000, 0.0000000000, -0.0000000000, 0.0000000000, 0.0000000000
0.0000000000, 0.0000000000, 26.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
0.0000000000, 0.0000000000, 27.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
0.0000000000, 0.0000000000, 28.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
0.0000000000, 1.0000000000, 0.0000000000, 0.0000000000, -0.0000000000, -0.0000000000, 0.0000000000
0.0000000000, 1.0000000000, 1.0000000000, -0.0000000000, -0.0000000000, -0.0000064219, 0.0000064219
0.0000000000, 1.0000000000, 2.0000000000, -0.0000000000, 0.0000000000, 0.0000003308, 0.0000003308
0.0000000000, 1.0000000000, 3.0000000000, 0.0000000000, -0.0000000000, 0.0000021884, 0.0000021884
0.0000000000, 1.0000000000, 4.0000000000, 0.0000000000, -0.0000000000, 0.0000024946, 0.0000024946
0.0000000000, 1.0000000000, 5.0000000000, -0.0000000000, -0.0000000000, 0.0000026016, 0.0000026016
0.0000000000, 1.0000000000, 6.0000000000, 0.0000000000, -0.0000000000, 0.0000026890, 0.0000026890
0.0000000000, 1.0000000000, 7.0000000000, 0.0000000000, 0.0000000000, 0.0000027971, 0.0000027971
0.0000000000, 1.0000000000, 8.0000000000, 0.0000000000, 0.0000000000, 0.0000029451, 0.0000029451
0.0000000000, 1.0000000000, 9.0000000000, -0.0000000000, -0.0000000000, 0.0000031433, 0.0000031433
0.0000000000, 1.0000000000, 10.0000000000, 0.0000000000, 0.0000000000, 0.0000033931, 0.0000033931
0.0000000000, 1.0000000000, 11.0000000000, 0.0000000000, -0.0000000000, 0.0000036889, 0.0000036889
0.0000000000, 1.0000000000, 12.0000000000, 0.0000000000, -0.0000000000, 0.0000040192, 0.0000040192
0.0000000000, 1.0000000000, 13.0000000000, -0.0000000000, -0.0000000000, 0.0000043682, 0.0000043682
0.0000000000, 1.0000000000, 14.0000000000, 0.0000000000, 0.0000000000, 0.0000047173, 0.0000047173
0.0000000000, 1.0000000000, 15.0000000000, 0.0000000000, 0.0000000000, 0.0000050469, 0.0000050469
0.0000000000, 1.0000000000, 16.0000000000, 0.0000000000, -0.0000000000, 0.0000053369, 0.0000053369
0.0000000000, 1.0000000000, 17.0000000000, 0.0000000000, 0.0000000000, 0.0000055681, 0.0000055681
0.0000000000, 1.0000000000, 18.0000000000, 0.0000000000, 0.0000000000, 0.0000057228, 0.0000057228
0.0000000000, 1.0000000000, 19.0000000000, 0.0000000000, 0.0000000000, 0.0000057854, 0.0000057854
0.0000000000, 1.0000000000, 20.0000000000, 0.0000000000, -0.0000000000, 0.0000057434, 0.0000057434
0.0000000000, 1.0000000000, 21.0000000000, 0.0000000000, 0.0000000000, 0.0000055879, 0.0000055879
0.0000000000, 1.0000000000, 22.0000000000, 0.0000000000, 0.0000000000, 0.0000053162, 0.0000053162
0.0000000000, 1.0000000000, 23.0000000000, 0.0000000000, 0.0000000000, 0.0000049373, 0.0000049373
0.0000000000, 1.0000000000, 24.0000000000, -0.0000000000, 0.0000000000, 0.0000044905, 0.0000044905
0.0000000000, 1.0000000000, 25.0000000000, 0.0000000000, 0.0000000000, 0.0000041074, 0.0000041074
0.0000000000, 1.0000000000, 26.0000000000, -0.0000000000, 0.0000000000, 0.0000042503, 0.0000042503
0.0000000000, 1.0000000000, 27.0000000000, 0.0000000000, 0.0000000000, 0.0000070436, 0.0000070436
0.0000000000, 1.0000000000, 28.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
0.0000000000, 2.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000
0.0000000000, 2.0000000000, 1.0000000000, 0.0000000000, 0.0000000000, -0.0000077462, 0.0000077462
0.0000000000, 2.0000000000, 2.0000000000, 0.0000000000, -0.0000000000, -0.0000006777, 0.0000006777
0.0000000000, 2.0000000000, 3.0000000000, -0.0000000000, 0.0000000000, 0.0000005780, 0.0000005780
0.0000000000, 2.0000000000, 4.0000000000, -0.0000000000, 0.0000000000, 0.0000007010, 0.0000007010
0.0000000000, 2.0000000000, 5.0000000000, 0.0000000000, 0.0000000000, 0.0000008642, 0.0000008642
0.0000000000, 2.0000000000, 6.0000000000, 0.0000000000, -0.0000000000, 0.0000011855, 0.0000011855
0.0000000000, 2.0000000000, 7.0000000000, 0.0000000000, -0.0000000000, 0.0000016156, 0.0000016156
0.0000000000, 2.0000000000, 8.0000000000, 0.0000000000, 0.0000000000, 0.0000021132, 0.0000021132
0.0000000000, 2.0000000000, 9.0000000000, 0.0000000000, 0.0000000000, 0.0000026505, 0.0000026505
0.0000000000, 2.0000000000, 10.0000000000, 0.0000000000, 0.0000000000, 0.0000032055, 0.0000032055
